mned,vaegtet,gallup,parti,diff
Jan-90,31.9,32,"Socialdemokraterne",.1
Feb-90,32.3,31.8,"Socialdemokraterne",.5
Mar-90,32.4,32.1,"Socialdemokraterne",.3
Apr-90,31.8,31.5,"Socialdemokraterne",.3
May-90,31.1,29.9,"Socialdemokraterne",1.2
Jun-90,31.1,30,"Socialdemokraterne",1.1
Aug-90,31.5,32.2,"Socialdemokraterne",.7
Sep-90,31.1,29.9,"Socialdemokraterne",1.2
Oct-90,31.9,30.8,"Socialdemokraterne",1.1
Dec-90,35.2,38.4,"Socialdemokraterne",3.2
Jan-91,38.2,37.7,"Socialdemokraterne",.5
Feb-91,38,38.7,"Socialdemokraterne",.7
Mar-91,36.4,36.6,"Socialdemokraterne",.2
Apr-91,36.2,36.7,"Socialdemokraterne",.5
May-91,35.9,36,"Socialdemokraterne",.1
Jun-91,36.6,35.9,"Socialdemokraterne",.7
Aug-91,35.9,34.8,"Socialdemokraterne",1.1
Sep-91,35.4,34.9,"Socialdemokraterne",.5
Oct-91,34.6,35.1,"Socialdemokraterne",.5
Nov-91,32.3,33.5,"Socialdemokraterne",1.2
Dec-91,33.6,34.6,"Socialdemokraterne",1
Jan-92,31.8,32.2,"Socialdemokraterne",.4
Feb-92,31.7,34.3,"Socialdemokraterne",2.6
Mar-92,30.4,34,"Socialdemokraterne",3.6
Apr-92,34.2,36.2,"Socialdemokraterne",2
May-92,35.5,36,"Socialdemokraterne",.5
Jun-92,34.9,35.9,"Socialdemokraterne",1
Aug-92,34.5,35.6,"Socialdemokraterne",1.1
Sep-92,34.7,35.7,"Socialdemokraterne",1
Oct-92,35.8,35.6,"Socialdemokraterne",.2
Nov-92,34.8,34.3,"Socialdemokraterne",.5
Dec-92,34.8,35.8,"Socialdemokraterne",1
Jan-93,35,35.5,"Socialdemokraterne",.5
Feb-93,36,36.8,"Socialdemokraterne",.8
Mar-93,34.4,36.8,"Socialdemokraterne",2.4
Apr-93,34.2,34.6,"Socialdemokraterne",.4
May-93,33.1,33.8,"Socialdemokraterne",.7
Jun-93,32.2,34.1,"Socialdemokraterne",1.9
Aug-93,30.3,31.5,"Socialdemokraterne",1.2
Sep-93,30.6,32.9,"Socialdemokraterne",2.3
Oct-93,31.1,31.8,"Socialdemokraterne",.7
Nov-93,32.5,33.4,"Socialdemokraterne",.9
Dec-93,33,33.4,"Socialdemokraterne",.4
Jan-94,32,33.7,"Socialdemokraterne",1.7
Feb-94,32.4,35.4,"Socialdemokraterne",3
Mar-94,31.1,31.2,"Socialdemokraterne",.1
Apr-94,31.5,33.3,"Socialdemokraterne",1.8
May-94,31.8,33.5,"Socialdemokraterne",1.7
Jun-94,31.9,29.7,"Socialdemokraterne",2.2
Aug-94,32.5,32.9,"Socialdemokraterne",.4
Sep-94,34,33.5,"Socialdemokraterne",.5
Oct-94,33.4,32.9,"Socialdemokraterne",.5
Nov-94,32.9,32.7,"Socialdemokraterne",.2
Dec-94,32.4,32.6,"Socialdemokraterne",.2
Jan-95,30.9,30.7,"Socialdemokraterne",.2
Feb-95,31.4,33.1,"Socialdemokraterne",1.7
Mar-95,31.9,31.8,"Socialdemokraterne",.1
Apr-95,31.2,31.7,"Socialdemokraterne",.5
May-95,30.4,30.5,"Socialdemokraterne",.1
Jun-95,30.9,33.8,"Socialdemokraterne",2.9
Aug-95,30.4,30.2,"Socialdemokraterne",.2
Sep-95,30.4,31.1,"Socialdemokraterne",.7
Oct-95,29.7,30.6,"Socialdemokraterne",.9
Nov-95,31.5,32.8,"Socialdemokraterne",1.3
Dec-95,30,30.1,"Socialdemokraterne",.1
Jan-96,30.6,29.6,"Socialdemokraterne",1
Feb-96,29.7,31.2,"Socialdemokraterne",1.5
Mar-96,29.1,29.8,"Socialdemokraterne",.7
Apr-96,29.6,32.3,"Socialdemokraterne",2.7
May-96,29.7,30.5,"Socialdemokraterne",.8
Jun-96,29.9,31.4,"Socialdemokraterne",1.5
Aug-96,29.7,30.4,"Socialdemokraterne",.7
Sep-96,29.7,30.5,"Socialdemokraterne",.8
Oct-96,29.8,31.6,"Socialdemokraterne",1.8
Nov-96,28.2,28,"Socialdemokraterne",.2
Dec-96,28.5,30.6,"Socialdemokraterne",2.1
Jan-97,29.7,31.3,"Socialdemokraterne",1.6
Feb-97,30.3,31.6,"Socialdemokraterne",1.3
Mar-97,32,31.8,"Socialdemokraterne",.2
Apr-97,31.2,31.7,"Socialdemokraterne",.5
May-97,28.8,28.3,"Socialdemokraterne",.5
Jun-97,30.5,33,"Socialdemokraterne",2.5
Aug-97,30.2,30.3,"Socialdemokraterne",.1
Sep-97,30.7,32.6,"Socialdemokraterne",1.9
Oct-97,28.6,28.6,"Socialdemokraterne",0
Nov-97,30.3,31.7,"Socialdemokraterne",1.4
Dec-97,31,30.7,"Socialdemokraterne",.3
Jan-98,31.4,32.7,"Socialdemokraterne",1.3
Feb-98,32.4,35.8,"Socialdemokraterne",3.4
Mar-98,31.5,34.3,"Socialdemokraterne",2.8
Apr-98,34.9,31.2,"Socialdemokraterne",3.7
May-98,34,31.2,"Socialdemokraterne",2.8
Jun-98,30.5,29.3,"Socialdemokraterne",1.2
Aug-98,30.5,29,"Socialdemokraterne",1.5
Sep-98,29.9,31,"Socialdemokraterne",1.1
Oct-98,28,27,"Socialdemokraterne",1
Dec-98,21.1,22.4,"Socialdemokraterne",1.3
Jan-99,22,22.8,"Socialdemokraterne",.8
Feb-99,22.1,24.1,"Socialdemokraterne",2
Mar-99,22.6,24.2,"Socialdemokraterne",1.6
Apr-99,25.3,27,"Socialdemokraterne",1.7
May-99,26,27.2,"Socialdemokraterne",1.2
Jun-99,27.7,29.7,"Socialdemokraterne",2
Aug-99,27.5,27.4,"Socialdemokraterne",.1
Sep-99,27.4,29.5,"Socialdemokraterne",2.1
Oct-99,26.4,27.7,"Socialdemokraterne",1.3
Nov-99,26,27.3,"Socialdemokraterne",1.3
Dec-99,25,26.1,"Socialdemokraterne",1.1
Jan-00,23.5,25.2,"Socialdemokraterne",1.7
Feb-00,23.7,24.8,"Socialdemokraterne",1.1
Mar-00,26,27.3,"Socialdemokraterne",1.3
Apr-00,25.9,28.4,"Socialdemokraterne",2.5
May-00,26.2,28.4,"Socialdemokraterne",2.2
Jun-00,26.9,28.8,"Socialdemokraterne",1.9
Aug-00,27.8,29.5,"Socialdemokraterne",1.7
Sep-00,27.2,29.8,"Socialdemokraterne",2.6
Oct-00,26.6,27.4,"Socialdemokraterne",.8
Nov-00,25.2,28.8,"Socialdemokraterne",3.6
Dec-00,25.9,26.8,"Socialdemokraterne",.9
Feb-01,25.8,28.6,"Socialdemokraterne",2.8
Mar-01,26.7,28.2,"Socialdemokraterne",1.5
Apr-01,29.1,30,"Socialdemokraterne",.9
May-01,28.3,29.4,"Socialdemokraterne",1.1
Jun-01,28.6,30.1,"Socialdemokraterne",1.5
Aug-01,28.2,28.5,"Socialdemokraterne",.3
Sep-01,27.2,29.2,"Socialdemokraterne",2
Oct-01,30.2,31.9,"Socialdemokraterne",1.7
Nov-01,29,29.4,"Socialdemokraterne",.4
Dec-01,28,28.3,"Socialdemokraterne",.3
Jan-02,28.1,28.4,"Socialdemokraterne",.3
Feb-02,28.8,30,"Socialdemokraterne",1.2
Mar-02,29.2,29.9,"Socialdemokraterne",.7
