id,studyid,study_author,study_year,domain,substudy_author,substudy_year,outcome,treatment,n,d,r,source,n_win,study_name
1,1,Ditto et al.,2019,Partisan bias,Bolsen et al.,2014,Partisan bias,Source,153,NA,0.361,Table 1,153,Ditto et al. (2019)
2,1,Ditto et al.,2019,Partisan bias,Bergan,2012,Partisan bias,Source,110,NA,0.094,Table 1,110,Ditto et al. (2019)
3,1,Ditto et al.,2019,Partisan bias,Bullock,2011,Partisan bias,Source,1633,NA,0.29,Table 1,1633,Ditto et al. (2019)
4,1,Ditto et al.,2019,Partisan bias,Claassen & Ensley,2016,Partisan bias,Source,549,NA,0.194,Table 1,549,Ditto et al. (2019)
5,1,Ditto et al.,2019,Partisan bias,Christenson & Kriner,2017,Partisan bias,Source,354,NA,0.384,Table 1,354,Ditto et al. (2019)
6,1,Ditto et al.,2019,Partisan bias,Ciuk & Yost,2016,Partisan bias,Source,77,NA,0.271,Table 1,77,Ditto et al. (2019)
7,1,Ditto et al.,2019,Partisan bias,Cohen,2003,Partisan bias,Source,79,NA,0.696,Table 1,79,Ditto et al. (2019)
8,1,Ditto et al.,2019,Partisan bias,Crawford & Xhambazi,2015,Partisan bias,Source,163,NA,0.254,Table 1,163,Ditto et al. (2019)
9,1,Ditto et al.,2019,Partisan bias,Crawford,2012,Partisan bias,Source,161,NA,0.418,Table 1,161,Ditto et al. (2019)
10,1,Ditto et al.,2019,Partisan bias,Crawford et al.,2013,Partisan bias,Content,211,NA,0.292,Table 1,211,Ditto et al. (2019)
11,1,Ditto et al.,2019,Partisan bias,Crawford et al.,2014,Partisan bias,Source,157,NA,0.126,Table 1,157,Ditto et al. (2019)
12,1,Ditto et al.,2019,Partisan bias,"Crawford, Kay, & Duke -Sample 1",2015,Partisan bias,Source,153,NA,0.254,Table 1,153,Ditto et al. (2019)
13,1,Ditto et al.,2019,Partisan bias,Crawford et al. -Sample 2,2015,Partisan bias,Source,162,NA,0.181,Table 1,162,Ditto et al. (2019)
14,1,Ditto et al.,2019,Partisan bias,Druckman,2001,Partisan bias,Source,239,NA,0.419,Table 1,239,Ditto et al. (2019)
15,1,Ditto et al.,2019,Partisan bias,Furgeson et al. -a,2008,Partisan bias,Content,114,NA,0.145,Table 1,114,Ditto et al. (2019)
16,1,Ditto et al.,2019,Partisan bias,Furgeson et al. -b,2008,Partisan bias,Content,270,NA,0.241,Table 1,270,Ditto et al. (2019)
17,1,Ditto et al.,2019,Partisan bias,Groenendyk,2013,Partisan bias,Source,161,NA,0.001,Table 1,161,Ditto et al. (2019)
18,1,Ditto et al.,2019,Partisan bias,Hawkins & Nosek -Study 1,2012,Partisan bias,Source,895,NA,0.208,Table 1,895,Ditto et al. (2019)
19,1,Ditto et al.,2019,Partisan bias,Hawkins & Nosek -Study 2,2012,Partisan bias,Source,928,NA,0.245,Table 1,928,Ditto et al. (2019)
20,1,Ditto et al.,2019,Partisan bias,Kahan,2013,Partisan bias,Content,1062,NA,0.239,Table 1,1062,Ditto et al. (2019)
21,1,Ditto et al.,2019,Partisan bias,Kahan et al.,2016,Partisan bias,Source,723,NA,0.162,Table 1,723,Ditto et al. (2019)
22,1,Ditto et al.,2019,Partisan bias,Kahan et al.,2011,Partisan bias,Content,1466,NA,0.339,Table 1,1466,Ditto et al. (2019)
23,1,Ditto et al.,2019,Partisan bias,Kahan et al.,2012,Partisan bias,Source,200,NA,0.366,Table 1,200,Ditto et al. (2019)
24,1,Ditto et al.,2019,Partisan bias,"Kahan, Peters, et al.",2017,Partisan bias,Content,397,NA,0.212,Table 1,397,Ditto et al. (2019)
25,1,Ditto et al.,2019,Partisan bias,"Kahan, Jamieson et al.",2017,Partisan bias,Content,1391,NA,0.116,Table 1,1391,Ditto et al. (2019)
26,1,Ditto et al.,2019,Partisan bias,Kam,2005,Partisan bias,Source,166,NA,0.302,Table 1,166,Ditto et al. (2019)
27,1,Ditto et al.,2019,Partisan bias,Kopko et al.,2011,Partisan bias,Source,100,NA,0.041,Table 1,100,Ditto et al. (2019)
28,1,Ditto et al.,2019,Partisan bias,Lai & Nosek,2012,Partisan bias,Source,545,NA,0.096,Table 1,545,Ditto et al. (2019)
29,1,Ditto et al.,2019,Partisan bias,Liu -Study 1,2014,Partisan bias,Content,381,NA,0.245,Table 1,381,Ditto et al. (2019)
30,1,Ditto et al.,2019,Partisan bias,Liu -Study 2,2014,Partisan bias,Content,433,NA,0.17,Table 1,433,Ditto et al. (2019)
31,1,Ditto et al.,2019,Partisan bias,Liu -Study 3,2014,Partisan bias,Content,537,NA,0.366,Table 1,537,Ditto et al. (2019)
32,1,Ditto et al.,2019,Partisan bias,Lopez -Study 1,1994,Partisan bias,Content,126,NA,0.116,Table 1,126,Ditto et al. (2019)
33,1,Ditto et al.,2019,Partisan bias,Lopez -Study 2,1994,Partisan bias,Content,47,NA,0.076,Table 1,47,Ditto et al. (2019)
34,1,Ditto et al.,2019,Partisan bias,Lord et al.,1979,Partisan bias,Content,48,NA,0.643,Table 1,48,Ditto et al. (2019)
