Country,Abbreviation,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional Stability,Group
Australia,AU,0.14,0.39,0.69,0.44,0.68,Western
Brazil,BR,0.43,0.31,0.73,0.00,0.68,Western
Canada,CA,0.08,0.43,0.60,0.23,0.48,Western
Chile,CL,0.30,0.37,0.55,0.01,0.61,Western
China,CN,0.36,0.45,0.51,0.25,0.61,Non-Western 
Finland,FI,0.43,0.57,0.70,0.11,0.71,Western
Germany,DE,0.42,0.57,0.70,0.07,0.54,Western
Italy,IT,0.43,0.31,0.73,0.28,0.76,Western
India,IN,0.53,0.02,0.01,0.14,0.33,Non-Western
Indonesia,ID,0.09,0.57,0.75,0.00,0.50,Non-Western
Iran,IR,0.05,0.33,0.38,0.12,0.30,Non-Western
Japan,JP,0.24,0.37,0.53,0.11,0.61,Non-Western
Malaysia,MY,0.33,0.29,0.46,0.20,0.54,Non-Western
Netherlands,NL,0.34,0.43,0.59,0.35,0.71,Western
Nigeria,NG,0.29,0.17,0.11,0.13,0.02,Non-Western
Norway,NO,0.47,0.48,0.77,0.27,0.71,Western
Pakistan,PK,0.27,0.05,0.21,0.17,0.11,Non-Western
Palestine,PS,0.46,0.29,0.04,0.003,0.26,Non-Western
Philippines,PH,0.20,0.30,0.29,0.27,0.55,Non-Western
Portugal,PT,0.55,0.43,0.75,0.32,0.82,Western
Romania,RO,0.31,0.19,0.39,0.28,0.52,Non-Western
Russia,RU,0.62,0.36,0.66,0.09,0.22,Non-Western
Slovakia,SK,0.42,0.37,0.22,0.20,0.59,Non-Western
Spain,ES,0.51,0.33,0.70,0.28,0.74,Western
Tanzania,TZ,0.37,0.18,0.15,0.18,0.04,Non-Western
Uganda,UG,0.06,0.34,0.31,0.04,0.09,Non-Western
UAE,AE,0.30,0.31,0.59,0.002,0.60,Non-Western
UK,GB,0.15,0.39,0.59,0.39,0.60,Western


