title,date,rating_imdb,rating_erik,rating_knud
A Crane's Critique,1996-10-22,8,7,6
A Day in May,2001-05-22,7.4,6,6
A Lilith Thanksgiving,1996-11-26,8.2,7,8
"A Man, a Plan and a Gal: Julia",2003-09-23,8.1,8,6
A Mid-Winter Night's Dream,1994-02-10,8.6,8,8
A New Position for Roz,2003-05-20,7.5,5,6
A Passing Fancy,2001-05-15,7.7,7,6
A Tsar Is Born,1999-11-11,8.4,7,8
A Word to the Wiseguy,1996-02-20,8,6,7
Adventures in Paradise: Part 1,1994-11-15,7.9,6,7
Adventures in Paradise: Part 2,1994-11-22,8.1,6,7
Agents in America: Part 3,1995-05-09,8.4,5,9
Ain't Nobody's Business If I Do,1998-01-13,7.6,6,6
An Affair to Forget,1995-05-02,8.9,7,7
Analyzed Kiss,2003-05-13,7.3,5,6
And Frasier Makes Three,2004-04-20,8.2,7,8
And the Dish Ran Away with the Spoon: Part 1,2000-10-24,8.2,7,7
And the Dish Ran Away with the Spoon: Part 2,2000-10-24,8.4,8,8
And the Whimper Is...,1994-02-17,7.8,7,6
Are You Being Served?,1997-05-13,8.5,8,8
Ask Me No Questions,1997-05-20,7.5,8,8
"Author, Author",1994-05-05,8.2,8,8
Back Talk,1999-12-09,8.8,9,7
Bad Dog,1998-04-07,7.7,8,7
Beloved Infidel,1993-11-04,8.1,9,6
Beware of Greeks,1998-03-17,7.5,7,6
Big Crane on Campus,2000-02-03,7.6,6,6
Bla-Z-Boy,2001-11-06,8.4,7,8
Boo!,2004-03-02,8.4,7,7
Breaking the Ice,1995-04-18,8.3,6,6
Bristle While You Work,2002-11-12,7.4,5,4
Bully for Martin,2001-12-11,7.4,6,7
Burying a Grudge,1994-11-29,7.5,5,7
Call Me Irresponsible,1993-10-28,7.9,9,5
Can't Buy Me Love,1994-01-20,7.7,8,6
Caught in the Act,2004-02-24,8.3,6,8
Cheerful Goodbyes,2002-04-30,7.9,4,8
Chess Pains,1996-03-26,8.3,7,6
Come Lie with Me,1996-01-30,7.6,7,9
Coots and Ladders,2004-03-16,7.3,4,6
Crane vs. Crane,1996-04-09,7.8,6,7
Cranes Go Caribbean,2001-05-22,7.6,7,6
Cranes Unplugged,2001-01-16,7.3,7,6
Crock Tales,2004-05-04,7.8,7,6
"Dad Loves Sherry, the Boys Just Whine",1997-01-07,7.9,8,6
Daphne Does Dinner,2003-02-11,8.5,8,8
Daphne Hates Sherry,1997-05-06,8.6,8,6
Daphne Returns,2001-05-01,8.4,7,8
Dark Side of the Moon,2000-05-11,8.5,7,6
Dark Victory,1995-05-23,8.3,8,7
Death Becomes Him,1993-12-02,7.7,8,8
Death and the Dog,1997-02-11,8.2,8,8
Deathtrap,2002-04-02,7.9,7,7
Decoys,1999-02-25,8.5,7,9
Desperately Seeking Closure,1997-12-09,7.3,7,6
Detour,2004-04-27,7.9,3,8
Dial M for Martin,1998-10-08,8.6,8,8
Dinner at Eight,1993-09-30,8.2,8,8
Docu.Drama,2001-03-06,7.4,5,6
Don Juan in Hell: Part 1,2001-09-25,7.5,7,6
Don Juan in Hell: Part 2,2001-09-25,8.1,9,5
Don't Go Breaking My Heart,2002-11-26,7.6,8,6
Door Jam,2003-01-07,8.3,7,9
Dr. Nora,1999-04-29,8.1,5,5
"Duke's, We Hardly Knew Ye",1994-10-18,7.7,7,7
Enemy at the Gate,2002-10-01,7.8,6,8
Everyone's a Critic,1999-10-14,7.6,6,5
"Farewell, Nervosa",2003-04-22,7.4,4,5
Father of the Bride,1999-09-30,7.6,7,7
Fathers and Sons,2003-05-06,8.6,8,8
First Date,1998-04-28,8.7,7,8
First Do No Harm,1998-10-29,7.4,8,6
Flour Child,1994-10-11,8.2,8,8
"Fool Me Once, Shame on You, Fool Me Twice...",1995-02-07,7.7,5,7
Forgotten But Not Gone,2001-04-17,7.4,6,7
Fortysomething,1994-03-31,7.6,7,7
Four for the Seesaw,1997-02-18,8.3,7,8
Frasier Crane's Day Off,1994-05-12,8.5,8,7
Frasier Gotta Have It,1998-04-21,7.4,6,6
Frasier Grinch,1995-12-19,8,7,9
Frasier Has Spokane,2002-05-07,7.4,6,8
Frasier Loves Roz,1996-05-07,7.8,6,6
Frasier's Curse,1998-10-01,7.6,7,7
Frasier's Edge,2001-01-09,8,7,7
Frasier's Imaginary Friend,1997-09-23,8.6,8,9
Frasier-Lite,2004-01-06,7.4,5,7
Fraternal Schwinns,2003-02-25,7.8,5,7
Freudian Sleep,2004-02-03,7,3,6
Give Him the Chair!,1994-03-17,8.1,7,7
Good Grief,1998-09-24,7.8,6,7
Good Samaritan,1999-01-07,7.8,7,6
"Goodnight, Seattle: Part 1",2004-05-13,8.8,8,7
Guess Who's Coming to Breakfast,1994-01-06,8,7,6
Guns 'N Neuroses,2003-11-18,8.3,8,7
Halloween,1997-10-28,9.1,8,9
Ham Radio,1997-04-22,9.5,7,10
Head Game,1996-11-12,8.3,8,7
Here's Looking at You,1993-10-14,7.9,8,6
High Crane Drifter,1996-03-12,8.5,8,7
High Holidays,2003-12-09,8.7,7,8
Hooping Cranes,2001-02-27,8.3,7,8
Hot Pursuit,2000-03-23,7.7,6,7
Hot Ticket,1998-10-16,7.6,6,7
How to Bury a Millionaire,1998-11-12,8.2,5,8
Hungry Heart,2001-02-20,8.3,8,7
I Hate Frasier Crane,1993-10-07,7.9,8,4
I'm Listening,2003-10-28,8.1,7,6
IQ,1999-04-08,8.1,6,7
It Takes Two to Tangle,2001-03-27,7.3,5,7
It's Hard to Say Goodbye If You Won't Leave,1996-01-09,7.4,5,7
Junior Agent,2001-11-27,7.2,4,8
Juvenilia,2002-01-22,7.6,7,6
Kenny on the Couch,2003-03-04,7.1,8,6
Kisses Sweeter Than Wine,1995-11-07,8,7,7
Kissing Cousin,2002-10-15,7.2,5,5
