postnr,postnrnavn,kommunekode,kommunenavn
1050,København K,0101,København
1051,København K,0101,København
1052,København K,0101,København
1053,København K,0101,København
1054,København K,0101,København
1055,København K,0101,København
1056,København K,0101,København
1057,København K,0101,København
1058,København K,0101,København
1059,København K,0101,København
1060,København K,0101,København
1061,København K,0101,København
1062,København K,0101,København
1063,København K,0101,København
1064,København K,0101,København
1065,København K,0101,København
1066,København K,0101,København
1067,København K,0101,København
1068,København K,0101,København
1069,København K,0101,København
1070,København K,0101,København
1071,København K,0101,København
1072,København K,0101,København
1073,København K,0101,København
1074,København K,0101,København
1100,København K,0101,København
1101,København K,0101,København
1102,København K,0101,København
1103,København K,0101,København
1104,København K,0101,København
1105,København K,0101,København
1106,København K,0101,København
1107,København K,0101,København
1110,København K,0101,København
1111,København K,0101,København
1112,København K,0101,København
1113,København K,0101,København
1114,København K,0101,København
1115,København K,0101,København
1116,København K,0101,København
1117,København K,0101,København
1118,København K,0101,København
1119,København K,0101,København
1120,København K,0101,København
1121,København K,0101,København
1122,København K,0101,København
1123,København K,0101,København
1124,København K,0101,København
1125,København K,0101,København
1126,København K,0101,København
1127,København K,0101,København
1128,København K,0101,København
1129,København K,0101,København
1130,København K,0101,København
1131,København K,0101,København
1150,København K,0101,København
1151,København K,0101,København
1152,København K,0101,København
1153,København K,0101,København
1154,København K,0101,København
1155,København K,0101,København
1156,København K,0101,København
1157,København K,0101,København
1158,København K,0101,København
1159,København K,0101,København
1160,København K,0101,København
1161,København K,0101,København
1162,København K,0101,København
1164,København K,0101,København
1165,København K,0101,København
1166,København K,0101,København
1167,København K,0101,København
1168,København K,0101,København
1169,København K,0101,København
1170,København K,0101,København
1171,København K,0101,København
1172,København K,0101,København
1173,København K,0101,København
1174,København K,0101,København
1175,København K,0101,København
1200,København K,0101,København
1201,København K,0101,København
1202,København K,0101,København
1203,København K,0101,København
1204,København K,0101,København
1205,København K,0101,København
1206,København K,0101,København
1207,København K,0101,København
1208,København K,0101,København
1209,København K,0101,København
1210,København K,0101,København
1211,København K,0101,København
1212,København K,0101,København
1213,København K,0101,København
1214,København K,0101,København
1215,København K,0101,København
1216,København K,0101,København
1218,København K,0101,København
1219,København K,0101,København
1220,København K,0101,København
1221,København K,0101,København
1250,København K,0101,København
1251,København K,0101,København
1252,København K,0101,København
1253,København K,0101,København
1254,København K,0101,København
1255,København K,0101,København
1256,København K,0101,København
1257,København K,0101,København
1259,København K,0101,København
1260,København K,0101,København
1261,København K,0101,København
1263,København K,0101,København
1264,København K,0101,København
1265,København K,0101,København
1266,København K,0101,København
1267,København K,0101,København
1268,København K,0101,København
1270,København K,0101,København
1271,København K,0101,København
1300,København K,0101,København
1301,København K,0101,København
1302,København K,0101,København
1303,København K,0101,København
1304,København K,0101,København
1306,København K,0101,København
1307,København K,0101,København
1308,København K,0101,København
1309,København K,0101,København
1310,København K,0101,København
1311,København K,0101,København
1312,København K,0101,København
1313,København K,0101,København
1314,København K,0101,København
1315,København K,0101,København
1316,København K,0101,København
1317,København K,0101,København
1318,København K,0101,København
1319,København K,0101,København
1320,København K,0101,København
1321,København K,0101,København
1322,København K,0101,København
1323,København K,0101,København
1324,København K,0101,København
1325,København K,0101,København
1326,København K,0101,København
1327,København K,0101,København
1328,København K,0101,København
1329,København K,0101,København
1350,København K,0101,København
1352,København K,0101,København
1353,København K,0101,København
1354,København K,0101,København
1355,København K,0101,København
1356,København K,0101,København
1357,København K,0101,København
1358,København K,0101,København
1359,København K,0101,København
1360,København K,0101,København
1361,København K,0101,København
1362,København K,0101,København
1363,København K,0101,København
1364,København K,0101,København
1365,København K,0101,København
1366,København K,0101,København
1367,København K,0101,København
1368,København K,0101,København
1369,København K,0101,København
1370,København K,0101,København
1371,København K,0101,København
1400,København K,0101,København
1401,København K,0101,København
1402,København K,0101,København
1403,København K,0101,København
1406,København K,0101,København
1407,København K,0101,København
1408,København K,0101,København
1409,København K,0101,København
1410,København K,0101,København
1411,København K,0101,København
1412,København K,0101,København
1413,København K,0101,København
1414,København K,0101,København
1415,København K,0101,København
1416,København K,0101,København
