place,category,subcategory,thing,imdb_title,imdb_ratings,imdb_average
Idaho,music,Artist,Matthew Barney,NA,NA,NA
Idaho,music,Composer,LaMonte Young,NA,NA,NA
Idaho,music,Other music,Built to Spill,NA,NA,NA
Idaho,literature,Author,Jerry Kramer,NA,NA,NA
Idaho,literature,Poet,Ezra Pound,NA,NA,NA
Idaho,person,Explorer,Sacagewea,NA,NA,NA
Idaho,music,Drum Battle,Idaho,NA,NA,NA
Idaho,movie,"Film, set in",Superman II,Superman II (1980),108501,6.8
Pakistan,music,Female singer,Abida Parveen,NA,NA,NA
Pakistan,music,Qawwali performers,Nusrat Fateh Ali Khan,NA,NA,NA
Pakistan,literature,Author/novel,"Daniyal Mueenuddin, In Other Rooms, Other Wonders",NA,NA,NA
Pakistan,food,Dish,Haleem,NA,NA,NA
Pakistan,economics,Economic reformer,Manmohan Singh,NA,NA,NA
Pakistan,economics,Economist,Atif Mian,NA,NA,NA
Pakistan,other,Textiles,Wedding carpets from Sindh,NA,NA,NA
Pakistan,art,Visual artist,Shahzia Shikhander,NA,NA,NA
Venice,literature,Favorite playwright,Carlo Goldoni,NA,NA,NA
Venice,literature,"Play, set in","William Shakespeare, Merchant of Venice",NA,NA,NA
Venice,music,"Opera, set in",Verdi’s Otello,NA,NA,NA
Venice,literature,"Memoir, set in",Casanova,NA,NA,NA
Venice,literature,"Short story, set in","Thomas Mann, Death in Venice",NA,NA,NA
Venice,art,Painting,Giorgione’s The Tempest,NA,NA,NA
Venice,art,Sculptor,Antonio Canova,NA,NA,NA
Venice,music,Conductor,Giuseppe Sinopoli,NA,NA,NA
Venice,person,Photographer of,Derek Parfit,NA,NA,NA
Venice,other,Maxim about,Pope Gregory XIII: I am pope everywhere except in Venice.,NA,NA,NA
New Hampshire,literature,Author,J. D. Salinger,NA,NA,NA
New Hampshire,art,Sculptor,August Saint-Gaudens,NA,NA,NA
New Hampshire,movie,Adam Sandler movie,The Waterboy,The Waterboy (1998),166122,6.1
New Hampshire,literature,Poet,Robert Frost,NA,NA,NA
New Hampshire,movie,Movie director,Brian DePalma,NA,NA,NA
New Hampshire,art,Painter,Maxfield Parrish,NA,NA,NA
New Hampshire,person,Secretary of the Treasury,Salmon P. Chase,NA,NA,NA
New Hampshire,economics,Free trade economist,Douglas Irwin,NA,NA,NA
Azerbaijan,sport,Chess player,Garry Kasparov,NA,NA,NA
Azerbaijan,music,Cellist and conductor,Mstislav Rostropovich,NA,NA,NA
Azerbaijan,music,Pianist,Bella Davidovich,NA,NA,NA
Azerbaijan,person,Philosopher,Max Black,NA,NA,NA
Ukraine,music,Pianist,Emil Gilels,NA,NA,NA
Ukraine,music,Violinists,Nathan Milstein,NA,NA,NA
Ukraine,music,Composer,Valentin Sylvestrov,NA,NA,NA
Ukraine,literature,Novelist,Nikolai Gogol,NA,NA,NA
Ukraine,movie,Movie,Alexander Dovzhenko’s Earth,Zemlya (1930),5915,7.2
Ukraine,movie,"Movie, set in",Man With a Movie Camera,Chelovek s kino-apparatom (1929),25608,8.4
Ukraine,art,Painter,David Burliuk,NA,NA,NA
Ukraine,art,Sculptor,Alexander Archipenko,NA,NA,NA
Ukraine,economics,Economist,Ludwig von Mises,NA,NA,NA
Ukraine,movie,Actress,Milla Jovovich,NA,NA,NA
Ukraine,person,Tech entrepreneur,Max Levchin,NA,NA,NA
Ukraine,person,Israeli,Golda Meir,NA,NA,NA
Ukraine,person,"Legal scholar, blogger, and First Amendment advocate",Eugene Volokh,NA,NA,NA
Ukraine,other,Other,Wilhelm Reich,NA,NA,NA
Poland,literature,Novel,"Stanislaw Lem, Solaris",NA,NA,NA
Poland,music,Chopin works,The Preludes,NA,NA,NA
Poland,person,Architect,Daniel Libeskind,NA,NA,NA
Poland,person,Political thinker,Czesław Miłosz,NA,NA,NA
Poland,person,Astronomer and originator of the quantity theory of money,Copernicus,NA,NA,NA
Poland,tv,Television show,The Decalogue,NA,NA,NA
Poland,movie,Movie,Andrzej Wajda's Kanał,Kanal (1957),7551,7.9
Poland,music,Classical pianist,Kristian Zimerman,NA,NA,NA
Poland,music,Jazz musician,Tomasz Stańko,NA,NA,NA
Poland,economics,Economists,Kalecki,NA,NA,NA
Delaware,other,Chemicals manufacturer,Duponts,NA,NA,NA
Delaware,economics,Economic historian,Alfred Chandler,NA,NA,NA
Delaware,economics,Monetarist who studied policy instruments and uncertainty,William Poole,NA,NA,NA
Delaware,person,Semi-libertarian journalist,Dave Weigel,NA,NA,NA
Ireland,literature,Poetry,Joyce’s Ulysses,NA,NA,NA
Ireland,literature,Novel/literature,Jonathan Swift: Gulliver’s Travels,NA,NA,NA
Ireland,music,Popular music,"My Bloody Valentine, Loveless",NA,NA,NA
Ireland,art,Painter,Sean Scully,NA,NA,NA
Ireland,person,Political philosopher,Edmund Burke,NA,NA,NA
Ireland,person,Philosopher,Bishop Berkeley,NA,NA,NA
Ireland,economics,Classical economist,Mountifort Longfield,NA,NA,NA
Ireland,person,Theologian,C.S. Lewis,NA,NA,NA
Ireland,person,Silicon Valley entrepreneur,Patrick Collison,NA,NA,NA
