name,Location,Website,Founded,Employees,Industries,Business.model,Funding.state,description,SDG_01,SDG_02,SDG_03,SDG_04,SDG_05,SDG_06,SDG_07,SDG_08,SDG_09,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16,SDG_17
CHARLES,Denmark,charlesrobotics.com,2022,1-10,"Consumer Goods, Energy & Greentech, Marketplace & eCommerce, Agriculture, Food & Beverage, Robotics",B2C,Bootstrapping,"CHARLES  is a robotics firm launching a farming robot very soon. 

We believe in technology as a driver of common good and want to launch a robot that will change how humanity functions in it core.


We are currently hiring in Århus/Hinnerup and Greater Copenhagen area. Our site will be live as soon as we can disclose our amazing project :)  Location DenmarkWebsite charlesrobotics.comFounded 2022Employees 1-10Industries Consumer Goods, Energy & Greentech, Marketplace & eCommerce, Agriculture, Food & Beverage, RoboticsBusiness model B2CFunding state Bootstrapping",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kyky Today Oy,Finland,kyky.today,2020,1-10,Marketplace & eCommerce,Marketplace,Pre-seed,"In today's world, due to changes in the job market and economy, freelancing is becoming the most appropriate answer to the inefficiency of traditional employment and staffing markets. In the new ""talent economy,"" new entrepreneurs and freelancers respond faster to the needs of the economy and society. 

Conventional recruiting methods are not enough anymore for satisfying the work demand changes. Strategic acquisition, based on short term projects, can be an essential key to create a more efficient process, cope with risks, and possibly increase productivity.  

We, at Kyky, understand how hard it can be to make consistent sales, get visibility and attract customers, so Kyky Today's objective is to help you build your brand and acquire new customers to translate it into sales.

Kyky Today is, in fact, an online platform where freelancers, entrepreneurs, students, and hobbyists sell their skills and services to potential buyers in Finland. By selling skills online and offline, our Skillers will respond to the need for cost-efficient and flexible demands of the labor market in the immediacy. As a  Skiller,  you decide about your salary and your working time in absolute freedom. Kyky Today platforms provide you a ""place"" to showcase your skills and expertise, expand your potential clients' contacts, and generate business. 

Kyky Today is a community based on values-driven by integrity, transparency, respect, diversity and communication. We take responsibility seriously, and our goals are to provide value, support to our clients, both sellers, and buyers, and develop long-term relationships. Our success is built upon people's success and transformative growth in every aspect of life – physically, financially, and emotionally. 

At Kyky Today we empower people to make decisions regarding their future, supporting their working ideas or reinventing people's careers.  Location FinlandWebsite kyky.todayFounded 2020Employees 1-10Industries Marketplace & eCommerceBusiness model MarketplaceFunding state Pre-seed",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
UpFood,Denmark,upfood.io,2018,1-10,"Energy & Greentech, IT & Software, Food & Beverage",B2B,Pre-seed,"UpFood is a tech startup that develops sustainable solutions to up-cycle the food, that otherwise  get wasted throughout the food value chain, into different value-added food ingredients.  Besides, we will also provide our low cost and efficient technologies to smallholder farmers, producing 80%  of food in the world but facing significant food loss challenges. Our patent pending solutions address UN SDGs 1, 2, 6, 7 and 12. We envision a successful business with huge impact in the world.  Location DenmarkWebsite upfood.ioFounded 2018Employees 1-10Industries Energy & Greentech, IT & Software, Food & BeverageBusiness model B2BFunding state Pre-seed",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Inpay A/S,Denmark,inpay.com,2007,51-100,"Fintech, IT & Software",B2B,Series B+,"INPAY is a successful Danish Fintech company, processing millions of transactions worth billions of dollars for Banks, Corporates and Postal Organizations, worldwide.
We live in the center of Copenhagen with 4 smaller offices around the globe. We are profitable, 60 people of 30 nationalities, innovative and technology driven by heart.
Our roots come from working with big data, compliance and AI more than 25 years ago and our DNA is to create innovative leading-edge infrastructure, that plays a vital part in our customers payment offerings.
We are a very ambitious and agile Fintech by hearth.
This means the pace is high, suggestions and ideas are always welcome, and we expect you to go the extra mile so we can conquer the world together.
We are regulated both by the Danish FSA and in a number of countries outside EU as well. This means amongst other that data and insight is key to success.

OUR VALUES:
At Inpay we live our values; Trust, Accountability, Innovation, Passion & Respect.
Inpay’s employees are unconventional in their approach, innovative and very passionate about everything they do. At the same time, our values build on old virtues as respect, trust and accountability.
We transfer these values to the way we conduct business and act towards our internal and external stakeholders.  Location DenmarkWebsite inpay.comFounded 2007Employees 51-100Industries Fintech, IT & SoftwareBusiness model B2BFunding state Series B+",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Contribe,Denmark,contribe.io,2021,1-10,"IT & Software, SaaS, Blockchain","B2B, Marketplace",Bootstrapping,"Contribe is developing a software platform to help businesses and NGO's collaborate and to create complete transparency in the world of charitable donations, using blockchain and cloud infrastructure. 

Year after year, more than $ 100 billion is donated to charities from European and American companies. There are several good reasons for this: It strengthens work ethic and job satisfaction among existing employees, it helps to attract qualified new employees, it increases brand value, it provides effective marketing, and it is an easy CSR initiative. From these $ 100 billion, more than 20%(!) goes to administration, sales and marketing, meaning than more than $ 20 billion is used to run NGOs. Still, as a company you have very little knowledge about how the donation is managed, who you benefit from and how.

Ultimately this results in companies taking on massive risks if you choose to donate to charity, because what if the donation is not managed as you expect? 

Founded in 2021, Contribe is on a mission to bring clarity, transparency and efficiency to the world of donation management. Ultimately, we give businesses and foundations all around the globe the ability to safely communicate their efforts and really benefit from their donations, as we eliminate all risks of your donation not being managed as stated in reports etc. Also, we give NGO’s more time and funds for the work that actually matters - The charitable work, and thereby doing our part to speed up the protection of humans and nature and awareness of the SDG’s.

At Contribe we are building the first ever platform to fully manage the partnerships between businesses and NGO’s, helping the parties connect and collaborate, communicate their efforts with supreme accuracy and free time to focus on creating value instead of focusing on tiresome and obsolete administrative practices. We are going to totally redefine the way donations are made, handled and communicated!

Our founder team consists of young driven individuals skilled within business law, marketing, sales, strategy and business economics and our advisors have expert knowledge within e.g., Blockchain, Cloud, Branding and GTM from e.g., Google, Bestseller and Nordic Blockchain Association.
  Location DenmarkWebsite contribe.ioFounded 2021Employees 1-10Industries IT & Software, SaaS, BlockchainBusiness model B2B, MarketplaceFunding state Bootstrapping",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Climaider,Denmark,climaider.com,2018,1-10,"Education, Energy & Greentech, IT & Software, SaaS, Service, Marketplace & eCommerce","B2C, B2B",Seed,"Climaider  is a rapidly growing app-based  climate startup. We build momentum to take climate action all around the world. With the ambition to become the most impactful company in stopping global warming, we make it simple for individuals and businesses to take action and fight for a sustainable future.

We calculate carbon footprints.
We offset emissions.
We engage our community to reduce emissions.
We spread the word and grow our community.

Responsibility, transparency, inspiration - these are our core values. Because we believe that little streams make great rivers. If many people take responsibility for their actions, then we can make huge progress towards sustainability. Climaider exists for the sake of the globe, therefore our first priority is to maximize our positive impact. This is also reflected in our choice of primary KPI: The amount of CO2e emission reduction achieved. We promote sustainability by inspiring and engaging people.

We are working in a flat organizational structure. This enables our employees to be creative, to take initiatives, and to make an impact quickly. At Climaider you are welcome to challenge the status quo and introduce new ideas and new processes. We have a beautiful office on Blågårds Plads, Nørrebro, Copenhagen N.
We are currently 8 full time employees and 2 part time.

If you want to get right into the machinery of a startup working to make the world a greener place, then Climaider is for you!  Location DenmarkWebsite climaider.comFounded 2018Employees 1-10Industries Education, Energy & Greentech, IT & Software, SaaS, Service, Marketplace & eCommerceBusiness model B2C, B2BFunding state Seed",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Naetion,Denmark,linktr.ee,2020,11-50,"Fintech, IT & Software, SaaS, Marketplace & eCommerce, Jobs & Recruitment, Blockchain","B2C, B2B, Marketplace",Pre-seed,"Naetion is working to create the world’s largest on-chain professional network. 

Naetion operates at the crossroads of consumer and crypto, allowing the general public to participate in the emerging web3 industry. Naetion acts as an umbrella for everything you may need.

HJAELP - the “business in a box” for service providers, talent, and creators is still around. It’s a solid first step, however, we intend to provide a platform that assists you in reaching your life goals as well.

PAEYROLL - is an HR tool that allows businesses to turn payroll into revenue.

MONAEY - is a neo-bank where your earnings are always yours, and features like staking become easier than ever.  Location DenmarkWebsite linktr.eeFounded 2020Employees 11-50Industries Fintech, IT & Software, SaaS, Marketplace & eCommerce, Jobs & Recruitment, BlockchainBusiness model B2C, B2B, MarketplaceFunding state Pre-seed",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Indo Naturals,Norway,indonaturals.com,2019,1-10,Consumer Goods,"B2C, B2B",Bootstrapping,"Indo Naturals delivers zero-plastic everyday products helping people on the journey to a sustainable lifestyle.The products are made utilizing the vast natural resources of rural India. These resources are often left unused, while millions of people living within the nature, are increasingly getting poorer. Producing plant-based products in India is a unique opportunity to reduce plastic waste from everyday lives in Scandinavia and Norway, while contributing to reduced poverty in rural India.

We are a small team of Scandinavians and Indians working across borders to create both a zero-waste brand and a disruption of business as usual. The social purpose of Indo Naturals drives the team forward through the challenges arising when starting a company based on International trade and strong ethical standards. This drive probably comes from our shared love for exploring nature and new cultures, and therefore our strong desire to preserve the oceans, the natural world, and the diversity of the human world society.  Location NorwayWebsite indonaturals.comFounded 2019Employees 1-10Industries Consumer GoodsBusiness model B2C, B2BFunding state Bootstrapping",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
WeDev OY /  Marketplace startup,Finland,wedev.fi,2021,1-10,"Fintech, IT & Software, SaaS, Marketplace & eCommerce","B2C, B2B, Marketplace, B2G",Bootstrapping,"Wedev is an innovative start up focusing on creating solutions that eases consumers and customers everyday life. 

New startup is develop and represents this by offering a easiest and funniest way to send personalized gift cards and to use it in anywhere!

WeDev is develop a marketplace for purchasing a personalised universal gift card that can be shared with others as a gift and redeemed with the B2B partners that joined the platform.
  Location FinlandWebsite wedev.fiFounded 2021Employees 1-10Industries Fintech, IT & Software, SaaS, Marketplace & eCommerceBusiness model B2C, B2B, Marketplace, B2GFunding state Bootstrapping",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fuzu Ltd,Finland,fuzu.com,2015,51-100,"Education, SaaS, Service, Jobs & Recruitment","B2C, B2B",Series A,"Fuzu was created to provide every person and organisation with tools to succeed and grow. We specialise in career development, recruitment and learning solutions for emerging market organisations and consumers - with special focus on the African consumers and businesses.

Fuzu caters for both grey-and white-collar career builders and helps local businesses, multinational companies and non-profit organizations in identifying and developing talent. Our ambition is to become the go-to platform for emerging market talent and a place to dream, grow and ultimately find the next career opportunity.

Fuzu has been nominated by numerous industry observers (Holoniq, Tällt Ventures, etc.) as one of the most promising growth companies across Africa.

So why Africa you may ask? Africa provides an incredible opportunity for building high growth businesses with massive social impact. Startup investments are growing at a pace of 5X per annum, working age population grows faster than anywhere on the planet, people are ambitious and ready to make a difference in the global economy. So in short, Africa is the place to be at the moment!  Location FinlandWebsite fuzu.comFounded 2015Employees 51-100Industries Education, SaaS, Service, Jobs & RecruitmentBusiness model B2C, B2BFunding state Series A",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
